Iteration,x,f(x)
149,-3.476562500000000,-0.524365105123160
150,-3.398437500000000,-0.907302310513700
151,-3.320312500000000,0.139312886458997
152,-3.242187500000000,1.029389521134738
153,-3.164062500000000,0.415019089669052
154,-3.085937500000000,-0.765475574662743
155,-3.007812500000000,-0.713204932984065
156,-2.929687500000000,0.498074017536112
157,-2.851562500000000,1.034059220214772
158,-2.773437500000000,0.086992204760712
159,-2.695312500000000,-0.896987664517345
160,-2.617187500000000,-0.415073638198445
161,-2.539062500000000,0.808880703736001
162,-2.460937500000000,0.924240707621578
163,-2.382812500000000,-0.234486976083364
164,-2.304687500000000,-0.896142895124750
165,-2.226562500000000,-0.043962124850760
166,-2.148437500000000,1.039615923699460
167,-2.070312500000000,0.721570367316236
168,-1.992187500000000,-0.500396230379156
